# Strain hardening data for copper
# Plastic strain (m/m), Stress (Pa)
0,55000000
0.000001,55016972.53
0.000002,55033890.25
0.000004,55067562.13
0.000008,55134257.54
0.000016,55265101.56
0.000032,55516963.89
0.000064,55984112.05
0.000128,56791497.54
0.000256,58021861.4
0.000512,59577364.18
0.001024,61281130.41
0.002048,63250330.24
0.004096,65362517.56
0.008192,67087429.16
0.016384,68597459.99
0.032768,70061035.65
0.065536,70895747.96
0.131072,71056121.66
0.262144,71060602.74
0.524288,71060606.06
1.048576,71060606.06
